"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Mar 30 11:12:47 GMT 2025","Sun Mar 30 11:12:47 GMT 2025","41","tests","test_operations","TestOperations","","","Update operation",""
"passed","Sun Mar 30 11:12:48 GMT 2025","Sun Mar 30 11:12:48 GMT 2025","52","tests","test_operations","TestOperations","","","Delete operation",""
"passed","Sun Mar 30 11:12:47 GMT 2025","Sun Mar 30 11:12:47 GMT 2025","37","tests","test_operations","TestOperations","","","Get operation",""
"passed","Sun Mar 30 11:12:47 GMT 2025","Sun Mar 30 11:12:47 GMT 2025","106","tests","test_operations","TestOperations","","","Create operation",""
"passed","Sun Mar 30 11:12:47 GMT 2025","Sun Mar 30 11:12:47 GMT 2025","138","tests","test_operations","TestOperations","","","Get operations",""
