"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Mar 30 11:02:13 GMT 2025","Sun Mar 30 11:02:14 GMT 2025","57","tests","test_operations","TestOperations","","","Get operation",""
"passed","Sun Mar 30 11:02:13 GMT 2025","Sun Mar 30 11:02:13 GMT 2025","265","tests","test_operations","TestOperations","","","Get operations",""
"passed","Sun Mar 30 11:02:14 GMT 2025","Sun Mar 30 11:02:14 GMT 2025","105","tests","test_operations","TestOperations","","","Delete operation",""
"passed","Sun Mar 30 11:02:13 GMT 2025","Sun Mar 30 11:02:13 GMT 2025","215","tests","test_operations","TestOperations","","","Create operation",""
"passed","Sun Mar 30 11:02:14 GMT 2025","Sun Mar 30 11:02:14 GMT 2025","55","tests","test_operations","TestOperations","","","Update operation",""
