"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","220","Update operation","tests","Wed Aug 06 18:55:11 GMT 2025","passed","Wed Aug 06 18:55:11 GMT 2025","TestOperations","test_operations","",""
"","294","Create operation","tests","Wed Aug 06 18:55:10 GMT 2025","passed","Wed Aug 06 18:55:11 GMT 2025","TestOperations","test_operations","",""
"","83","Get operation","tests","Wed Aug 06 18:55:11 GMT 2025","passed","Wed Aug 06 18:55:11 GMT 2025","TestOperations","test_operations","",""
"","672","Get operations","tests","Wed Aug 06 18:55:10 GMT 2025","passed","Wed Aug 06 18:55:11 GMT 2025","TestOperations","test_operations","",""
"","191","Delete operation","tests","Wed Aug 06 18:55:12 GMT 2025","passed","Wed Aug 06 18:55:12 GMT 2025","TestOperations","test_operations","",""
