"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Mar 30 11:12:31 GMT 2025","Sun Mar 30 11:12:31 GMT 2025","239","tests","test_operations","TestOperations","","","Create operation",""
"passed","Sun Mar 30 11:12:32 GMT 2025","Sun Mar 30 11:12:32 GMT 2025","58","tests","test_operations","TestOperations","","","Update operation",""
"passed","Sun Mar 30 11:12:32 GMT 2025","Sun Mar 30 11:12:32 GMT 2025","55","tests","test_operations","TestOperations","","","Get operation",""
"passed","Sun Mar 30 11:12:31 GMT 2025","Sun Mar 30 11:12:32 GMT 2025","289","tests","test_operations","TestOperations","","","Get operations",""
"passed","Sun Mar 30 11:12:32 GMT 2025","Sun Mar 30 11:12:32 GMT 2025","104","tests","test_operations","TestOperations","","","Delete operation",""
